Title,url,Item Description
"[Cat with Candelabra, Normandy, France]",https://www.loc.gov/item/2020714944/,5 photographs : nitrate negative ; film width 35mm (roll format) | Photograph (5 frames) shows a black cat with candelabra and on carpet.
[Cat and kitten drinking milk],https://www.loc.gov/item/2003653666/,1 print : lithograph.
[Three cats - mother and kittens],https://www.loc.gov/item/2003653670/,1 print : lithograph.
"Von Karlowski cat, portrait photograph",https://www.loc.gov/item/2018712342/,1 negative : nitrate ; 4 x 5 in. or smaller.
And the cat came back,https://www.loc.gov/item/2016683190/,1 drawing.
"The cat's elegy,",https://www.loc.gov/item/13005637/,Also available in digital form. LAC scc 2019-10-24 update (1 card)
"Fluffy Cat's tail,",https://www.loc.gov/item/32000328/,Also available in digital form.
Pennsylvania wild cats,https://www.loc.gov/item/16008237/,Also available in digital form.
Kitty-cat tales,https://www.loc.gov/item/32010533/,No data listed
"Kitty-cat tales,",https://www.loc.gov/item/07027609/,No data listed
Cats and dogs.,https://www.loc.gov/item/21018296/,No data listed
"Pussy-cat town,",https://www.loc.gov/item/06034815/,No data listed
Cat and Dog Fight,https://www.loc.gov/item/lomaxbib000214/,No data listed
Lives of two cats;,https://www.loc.gov/item/01029402/,No data listed
The alley cat's kitten,https://www.loc.gov/item/04028966/,No data listed
"The Christmas cat,",https://www.loc.gov/item/02030148/,No data listed
The Old Black Cat,https://www.loc.gov/item/flwpa000088/,No data listed
"Cat Story, The",https://www.loc.gov/item/lomaxbib000207/,No data listed
The vampire cat ...,https://www.loc.gov/item/unk84202473/,Also available in digital form.
